candle_end_time,open,high,low,close,amount,info
2022-01-06,45.560,46.130,44.840,44.890,681867.000,
2022-01-07,44.880,45.880,44.780,45.790,660737.000,
2022-01-10,46.210,46.740,45.650,45.970,570936.000,
2022-01-11,46.230,46.840,45.630,46.590,715617.000,
2022-01-12,46.610,46.840,45.930,46.500,518411.000,
2022-01-13,46.590,46.790,45.860,46.080,401408.000,
2022-01-14,46.210,46.210,44.740,44.760,666571.000,
2022-01-17,45.110,45.590,44.630,45.320,531808.000,
2022-01-18,45.390,46.080,45.020,45.750,579077.000,
2022-01-19,46.210,46.720,45.850,46.440,620280.000,
2022-01-20,46.620,48.630,46.620,48.110,1386249.000,
2022-01-21,48.130,48.740,47.950,48.560,858081.000,
2022-01-24,48.690,48.740,47.770,48.590,638155.000,
2022-01-25,48.290,48.530,47.440,47.640,583513.000,
2022-01-26,47.990,48.230,47.340,47.740,436696.000,
2022-01-27,47.640,47.920,46.860,47.510,529401.000,
2022-01-28,47.790,47.940,45.890,45.950,715144.000,
2022-02-07,47.040,48.240,46.870,48.090,732349.000,
2022-02-08,48.290,48.740,47.730,48.450,528242.000,
2022-02-09,48.640,49.080,48.020,48.360,512207.000,
2022-02-10,48.640,48.640,47.740,48.450,335542.000,
2022-02-11,48.560,49.740,48.390,49.500,809933.000,
2022-02-14,49.730,49.730,47.740,47.940,594052.000,
2022-02-15,47.690,48.120,46.690,46.960,566179.000,
2022-02-16,47.300,48.100,46.970,47.810,404956.000,
2022-02-17,48.010,48.720,47.660,48.200,441570.000,
2022-02-18,47.990,48.850,47.990,48.800,354390.000,
2022-02-21,48.570,48.630,47.750,48.500,313451.000,
2022-02-22,47.820,48.090,47.480,47.960,369840.000,
2022-02-23,48.200,48.200,47.390,47.570,375000.000,
2022-02-24,47.290,47.320,46.590,46.760,482381.000,
2022-02-25,46.780,47.240,46.290,46.550,451841.000,
2022-02-28,46.330,46.680,46.050,46.540,335290.000,
2022-03-01,46.740,47.240,46.100,46.980,406454.000,
2022-03-02,46.540,46.970,46.180,46.210,397076.000,
2022-03-03,46.320,46.710,46.190,46.470,311290.000,
2022-03-04,45.990,46.130,45.240,45.440,577897.000,
2022-03-07,44.750,45.000,43.240,43.500,1014354.000,
